,企业代号,信誉评级,资产转化率,美国制裁,净利润占比,贷款份额占比,净利润占比占比,实际信贷份额系数,贷款额度
201,E306,C,3.47921760151923,无,0.00130915364285244,0.0021551724137931034,0.0027857111526912717,0.0024704417832421876,27.423085823549645
204,E311,C,5.3441256355728,无,0.00126990024606297,0.0021551724137931034,0.002702184955583353,0.002428678684688228,26.959495447256888
206,E316,C,4.30062064704086,无,0.00121574600061831,0.0021551724137931034,0.0025869516624367414,0.0023710620381149224,26.319923102519716
207,E318,C,9.38250268456283,无,0.00145649193374967,0.0021551724137931034,0.00309922815080052,0.0026272002822968115,29.163180167122505
211,E328,C,3.6388248695829,无,0.000885295009765476,0.0021551724137931034,0.0018837943090867504,0.002019483361439927,22.41723157196474
218,E350,C,3.61947982964368,无,0.000156003347277592,0.0021551724137931034,0.00033195512745278356,0.0012435637706229435,13.804152860503489
220,E362,C,10.2157844831701,无,0.000555674203779742,0.0021551724137931034,0.0011824034827259348,0.0016687879482595192,18.5243446888138
221,E363,C,5.32383934545228,无,0.000127539371728385,0.0021551724137931034,0.0002713874358221878,0.0012132799248076457,13.467987682075302
222,E367,C,8.74196853239871,无,0.000258899025279458,0.0021551724137931034,0.0005509039417027211,0.0013530381777479123,15.019371159689747
223,E371,C,6.64633552148313,无,0.000153869933845917,0.0021551724137931034,0.00032741549711805105,0.0012412939554555772,13.77895682610976
224,E372,C,3.76338350146313,无,0.000222005310381503,0.0021551724137931034,0.0004723988452103688,0.0013137856295017362,14.583649093033628
225,E374,C,26.9115364148368,无,0.000178778013927737,0.0021551724137931034,0.00038041669896695746,0.0012677945563800304,14.07312617608455
226,E376,C,89.1580536205013,无,8.19972058455695e-05,0.0021551724137931034,0.00017447954413954994,0.0011648259789663266,12.930125699530517
229,E399,C,24.3436749170302,无,6.20702993794685e-05,0.0021551724137931034,0.00013207764128855647,0.00114362502754083,12.694784994711606
230,E408,C,8.65842351713683,无,6.76100499239907e-05,0.0021551724137931034,0.0001438655203959917,0.0011495189670945477,12.760210543824645
231,E413,C,11.7307992123843,无,3.84304686397707e-05,0.0021551724137931034,8.17751114832502e-05,0.0011184737626381768,12.415593920194118
40,E163,C,1.73986242011951,正,0.00813601664540152,0.0021551724137931034,0.017312400596613136,0.00973378650520312,108.04968752187196
41,E177,C,1.37801033714111,正,0.00392413755254502,0.0021551724137931034,0.00835006173988963,0.005252617076841366,58.306562766851535
44,E259,C,1.71742555251939,正,0.00194012795432274,0.0021551724137931034,0.004128343613075931,0.003141758013434517,34.87501718262239
47,E396,C,1.37770526315742,正,2.48083613367253e-05,0.0021551724137931034,5.278901314068311e-05,0.0011039807134668933,12.254714139919582
